dateTime,junction,vehicles
2015-11-01,Paud Road,13
2015-11-02,Paud Road,12
2015-11-03,Paud Road,18
2015-11-04,Paud Road,18
2015-11-05,Paud Road,20
2015-11-06,Paud Road,18
2015-11-07,Paud Road,16
2015-11-08,Paud Road,16
2015-11-09,Paud Road,15
2015-11-10,Paud Road,19
2015-11-11,Paud Road,25
2015-11-12,Paud Road,17
2015-11-13,Paud Road,21
2015-11-14,Paud Road,20
2015-11-15,Paud Road,13
2015-11-16,Paud Road,14
2015-11-17,Paud Road,21
2015-11-18,Paud Road,23
2015-11-19,Paud Road,23
2015-11-20,Paud Road,20
2015-11-21,Paud Road,16
2015-11-22,Paud Road,15
2015-11-23,Paud Road,14
2015-11-24,Paud Road,19
2015-11-25,Paud Road,16
2015-11-26,Paud Road,16
2015-11-27,Paud Road,19
2015-11-28,Paud Road,13
2015-11-29,Paud Road,17
2015-11-30,Paud Road,13
2015-12-01,Paud Road,20
2015-12-02,Paud Road,19
2015-12-03,Paud Road,22
2015-12-04,Paud Road,19
2015-12-05,Paud Road,19
2015-12-06,Paud Road,14
2015-12-07,Paud Road,15
2015-12-08,Paud Road,20
2015-12-09,Paud Road,20
2015-12-10,Paud Road,14
2015-12-11,Paud Road,19
2015-12-12,Paud Road,16
2015-12-13,Paud Road,15
2015-12-14,Paud Road,16
2015-12-15,Paud Road,17
2015-12-16,Paud Road,22
2015-12-17,Paud Road,20
2015-12-18,Paud Road,20
2015-12-19,Paud Road,25
2015-12-20,Paud Road,14
2015-12-21,Paud Road,16
2015-12-22,Paud Road,20
2015-12-23,Paud Road,18
2015-12-24,Paud Road,15
2015-12-25,Paud Road,13
2015-12-26,Paud Road,15
2015-12-27,Paud Road,15
2015-12-28,Paud Road,13
2015-12-29,Paud Road,19
2015-12-30,Paud Road,17
2015-12-31,Paud Road,18
2016-01-01,Paud Road,13
2016-01-02,Paud Road,15
2016-01-03,Paud Road,13
2016-01-04,Paud Road,19
2016-01-05,Paud Road,21
2016-01-06,Paud Road,25
2016-01-07,Paud Road,22
2016-01-08,Paud Road,25
2016-01-09,Paud Road,19
2016-01-10,Paud Road,18
2016-01-11,Paud Road,16
2016-01-12,Paud Road,22
2016-01-13,Paud Road,21
2016-01-14,Paud Road,18
2016-01-15,Paud Road,20
2016-01-16,Paud Road,20
2016-01-17,Paud Road,23
2016-01-18,Paud Road,21
2016-01-19,Paud Road,32
2016-01-20,Paud Road,26
2016-01-21,Paud Road,24
2016-01-22,Paud Road,25
2016-01-23,Paud Road,31
2016-01-24,Paud Road,20
2016-01-25,Paud Road,19
